transaction_id,customer_id,customer_age_days,lifetime_value,previous_success_rate,average_order_value,previous_recovery_successes,days_since_last_purchase,amount,event_type,failure_reason,timestamp,time_of_day,day_of_week,attempts_so_far,last_contact_time,opted_out,allowed_interventions,intervention,recovered,recovered_amount,time_to_recovery_hours,previous_payment_failures
TXN000000,CUST01050,762,2991.34,0.5,631.99,0,110,1461.83,checkout_abandoned,bank_decline,2026-06-01T00:01:08.265795,0,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000001,CUST00309,163,15523.12,0.5,238.61,0,44,402.33,payment_failed,otp_timeout,2026-06-01T00:10:47.515489,0,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,True,402.33,2.63,0
TXN000002,CUST01443,650,9865.15,0.5,398.95,0,6,369.41,checkout_abandoned,insufficient_funds,2026-06-01T00:17:05.435774,0,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,escalate_to_human,False,0.0,,0
TXN000003,CUST00068,115,1494.18,0.5,591.47,0,54,815.82,payment_failed,gateway_error,2026-06-01T00:38:50.343169,0,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000004,CUST01242,1444,3648.3,0.5,150.05,0,88,332.28,checkout_abandoned,bank_decline,2026-06-01T00:49:20.356394,0,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,escalate_to_human,True,332.28,1.28,0
TXN000005,CUST00900,7,9275.6,0.5,403.48,0,17,229.68,checkout_abandoned,insufficient_funds,2026-06-01T01:29:41.806780,1,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,False,0.0,,0
TXN000006,CUST00652,304,7672.06,0.5,173.44,0,110,171.02,payment_failed,insufficient_funds,2026-06-01T01:50:03.100565,1,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,False,0.0,,0
TXN000007,CUST00300,546,7142.82,0.5,290.28,0,53,214.15,payment_failed,price_hesitation,2026-06-01T02:15:44.327442,2,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,False,0.0,,0
TXN000008,CUST00156,190,4848.62,0.5,447.05,0,23,516.63,payment_failed,insufficient_funds,2026-06-01T02:29:00.555825,2,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,False,0.0,,0
TXN000009,CUST00912,565,5770.6,0.5,340.73,0,112,434.79,checkout_abandoned,insufficient_funds,2026-06-01T03:17:48.961603,3,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,False,0.0,,0
TXN000010,CUST01286,1361,4431.02,0.5,296.27,0,116,267.86,payment_failed,insufficient_funds,2026-06-01T03:45:52.826767,3,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,False,0.0,,0
TXN000011,CUST01117,880,3697.54,0.5,442.66,0,100,586.67,payment_failed,insufficient_funds,2026-06-01T03:47:10.084149,3,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,escalate_to_human,True,586.67,8.01,0
TXN000012,CUST00579,153,1699.54,0.5,224.5,0,111,204.92,payment_failed,price_hesitation,2026-06-01T03:59:11.778360,3,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,True,204.92,7.41,0
TXN000013,CUST00273,1437,20874.61,0.5,209.1,0,78,187.51,payment_failed,otp_timeout,2026-06-01T04:21:31.915516,4,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,False,0.0,,0
TXN000014,CUST00263,1387,11038.47,0.5,323.28,0,21,443.28,checkout_abandoned,insufficient_funds,2026-06-01T04:50:02.241590,4,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,False,0.0,,0
TXN000015,CUST00128,862,2257.49,0.5,813.4,0,72,473.08,payment_failed,gateway_error,2026-06-01T04:50:30.091823,4,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,True,473.08,9.04,0
TXN000016,CUST01273,1013,14209.81,0.5,381.79,0,104,516.02,checkout_abandoned,insufficient_funds,2026-06-01T05:14:50.476284,5,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,False,0.0,,0
TXN000017,CUST01487,2,7953.93,0.5,472.56,0,16,418.8,checkout_abandoned,insufficient_funds,2026-06-01T05:21:21.499549,5,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,True,418.8,8.56,0
TXN000018,CUST01342,179,6635.23,0.5,155.46,0,11,117.88,checkout_abandoned,price_hesitation,2026-06-01T05:23:20.748561,5,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,False,0.0,,0
TXN000019,CUST00623,625,2753.46,0.5,512.39,0,62,554.74,checkout_abandoned,bank_decline,2026-06-01T05:40:37.051849,5,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,False,0.0,,0
TXN000020,CUST00372,615,11783.15,0.5,437.86,0,50,320.57,checkout_abandoned,otp_timeout,2026-06-01T06:03:58.750403,6,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,False,0.0,,0
TXN000021,CUST00433,197,2650.14,0.5,201.12,0,113,222.31,payment_failed,bank_decline,2026-06-01T06:24:11.112077,6,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000022,CUST00526,1385,3123.27,0.5,618.71,0,55,814.8,checkout_abandoned,gateway_error,2026-06-01T06:24:26.408345,6,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,True,814.8,3.68,0
TXN000023,CUST00697,885,14691.72,0.5,990.86,0,107,643.26,payment_failed,gateway_error,2026-06-01T06:29:19.609751,6,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000024,CUST00706,12,12171.71,0.5,534.02,0,75,412.25,checkout_abandoned,price_hesitation,2026-06-01T07:34:28.479103,7,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,False,0.0,,0
TXN000025,CUST00985,978,39862.77,0.5,268.89,0,37,178.23,payment_failed,bank_decline,2026-06-01T07:37:40.071541,7,0,0,,True,no_action,no_action,False,0.0,,0
TXN000026,CUST00302,15,7714.15,0.5,290.53,0,113,313.8,payment_failed,insufficient_funds,2026-06-01T07:39:54.338898,7,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,escalate_to_human,False,0.0,,0
TXN000027,CUST00024,1172,5480.43,0.5,443.8,0,92,773.2,payment_failed,otp_timeout,2026-06-01T07:54:11.845562,7,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000028,CUST00508,403,9095.13,0.5,997.0,0,74,641.72,payment_failed,gateway_error,2026-06-01T09:00:52.016379,9,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,False,0.0,,0
TXN000029,CUST01417,658,12468.17,0.5,736.44,0,86,526.05,payment_failed,otp_timeout,2026-06-01T10:06:02.846608,10,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,True,526.05,4.72,0
TXN000030,CUST00708,714,10098.33,0.5,146.9,0,25,151.95,payment_failed,otp_timeout,2026-06-01T10:57:54.626690,10,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,True,151.95,0.7,0
TXN000031,CUST00280,414,4604.5,0.5,460.29,0,17,1155.27,checkout_abandoned,otp_timeout,2026-06-01T11:19:30.552421,11,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,escalate_to_human,True,1155.27,0.98,0
TXN000032,CUST00152,1376,10902.1,0.5,308.32,0,19,369.47,checkout_abandoned,otp_timeout,2026-06-01T11:26:51.163417,11,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,True,369.47,11.97,0
TXN000033,CUST01446,1407,108435.87,0.5,332.2,0,78,186.57,checkout_abandoned,price_hesitation,2026-06-01T11:43:15.135465,11,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,escalate_to_human,False,0.0,,0
TXN000034,CUST01160,874,10908.96,0.5,378.24,0,7,197.8,checkout_abandoned,gateway_error,2026-06-01T12:12:44.801684,12,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,False,0.0,,0
TXN000035,CUST00145,1280,12260.46,0.5,802.76,0,77,1090.31,checkout_abandoned,otp_timeout,2026-06-01T12:30:15.774437,12,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000036,CUST01082,1437,3516.18,0.5,580.36,0,76,669.49,payment_failed,insufficient_funds,2026-06-01T12:52:15.756916,12,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,True,669.49,6.33,0
TXN000037,CUST00051,292,21919.74,0.5,171.7,0,64,184.55,payment_failed,price_hesitation,2026-06-01T13:22:10.254035,13,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000038,CUST00389,230,12385.01,0.5,148.63,0,65,181.93,payment_failed,price_hesitation,2026-06-01T13:42:47.396309,13,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,True,181.93,6.81,0
TXN000039,CUST00441,452,3295.83,0.5,217.01,0,101,130.14,payment_failed,bank_decline,2026-06-01T14:20:13.619198,14,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,True,130.14,16.48,0
TXN000040,CUST00358,137,2577.97,0.5,706.12,0,10,866.83,payment_failed,insufficient_funds,2026-06-01T14:30:18.145933,14,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,True,866.83,5.57,0
TXN000041,CUST00664,896,715.29,0.5,329.92,0,75,352.27,payment_failed,price_hesitation,2026-06-01T14:38:46.266986,14,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,reminder,True,352.27,3.88,0
TXN000042,CUST00624,906,1578.71,0.5,221.68,0,119,399.61,payment_failed,insufficient_funds,2026-06-01T15:07:47.544562,15,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000043,CUST00781,955,2472.38,0.5,499.0,0,54,585.7,payment_failed,gateway_error,2026-06-01T15:14:34.433808,15,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,True,585.7,7.68,0
TXN000044,CUST00187,572,1206.26,0.5,267.0,0,90,321.98,payment_failed,insufficient_funds,2026-06-01T15:34:30.843213,15,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,retry_link,False,0.0,,0
TXN000045,CUST01449,155,2495.41,0.5,358.57,0,109,512.07,payment_failed,otp_timeout,2026-06-01T15:38:50.266718,15,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,True,512.07,0.8,0
TXN000046,CUST00366,704,1055.83,0.5,347.11,0,109,744.59,payment_failed,bank_decline,2026-06-01T15:51:50.469097,15,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,False,0.0,,0
TXN000047,CUST00237,648,57942.84,0.5,229.81,0,27,261.59,checkout_abandoned,otp_timeout,2026-06-01T15:53:13.109547,15,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,True,261.59,7.46,0
TXN000048,CUST01049,180,108069.07,0.5,202.13,0,106,171.65,payment_failed,gateway_error,2026-06-01T16:19:51.107114,16,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,no_action,True,171.65,0.28,0
TXN000049,CUST00995,939,5649.13,0.5,436.94,0,11,355.57,checkout_abandoned,otp_timeout,2026-06-01T16:39:32.216800,16,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,True,355.57,8.71,0
TXN000050,CUST01467,577,2935.79,0.5,426.87,0,43,657.68,payment_failed,otp_timeout,2026-06-01T17:05:00.531437,17,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,False,0.0,,0
TXN000051,CUST00814,1167,44785.11,0.5,635.84,0,102,681.6,payment_failed,bank_decline,2026-06-01T17:11:15.266906,17,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,True,681.6,3.59,0
TXN000052,CUST00615,959,38003.91,0.5,309.66,0,44,362.79,payment_failed,price_hesitation,2026-06-01T17:30:51.082805,17,0,0,,False,retry_link;reminder;discount_offer;escalate_to_human;no_action,discount_offer,True,362.79,4.46,0
